,id,places,theme,cluster
51,50,"[1, 98, 419, 165, 229, 38, 40, 46, 22, 280, 314, 123, 796, 317]","[0.0, 0.14285714285714285, 0.6428571428571429, 0.21428571428571427, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.21428571428571427, 0.07142857142857142, 0.0, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.9285714285714286, 0.0, 0.0, 0.07142857142857142]",6
52,51,"[1, 2, 134, 6, 80, 310, 94]","[0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.14285714285714285, 0.0, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.0, 0.7142857142857143, 0.2857142857142857, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0]",5
53,52,"[2, 134, 8, 10, 13, 19, 25, 22, 310, 153, 94, 31]","[0.08333333333333333, 0.0, 0.5833333333333334, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.75, 0.4166666666666667, 0.4166666666666667, 0.16666666666666666, 0.0, 0.4166666666666667, 0.5833333333333334, 0.16666666666666666, 0.4166666666666667, 0.4166666666666667, 0.0, 0.9166666666666666, 0.0, 0.0, 0.08333333333333333]",1
54,53,"[108, 589, 143, 273, 253, 446]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666]",4
55,54,"[2, 3, 6, 134, 13, 590, 310, 25]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.125, 0.875, 0.375, 0.375, 0.25, 0.125, 0.25, 0.625, 0.375, 0.25, 0.375, 0.0, 0.75, 0.25, 0.0, 0.0]",2
56,55,"[32, 38, 41, 10, 253]","[0.2, 0.2, 0.6, 0.0, 0.2, 0.2, 0.2, 0.4, 1.0, 0.0, 0.0, 0.0, 0.8, 0.2, 0.4, 0.4, 0.2, 0.0, 0.8, 0.0, 0.0, 0.2]",10
57,56,"[1, 104, 113, 18, 179, 22]","[0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",10
58,57,"[1, 2, 3, 452, 5, 134, 6, 37, 9, 76, 46, 16, 17, 50, 59, 61]","[0.125, 0.0, 0.25, 0.625, 0.0, 0.0, 0.25, 0.75, 0.5, 0.3125, 0.1875, 0.0625, 0.5, 0.4375, 0.4375, 0.375, 0.0625, 0.125, 0.6875, 0.25, 0.0, 0.0625]",11
59,58,"[7, 11, 139, 428, 48, 26, 157]","[0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.2857142857142857, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",9
60,59,"[3, 4, 9, 233, 338, 179, 470, 22]","[0.25, 0.25, 0.25, 0.25, 0.125, 0.25, 0.0, 0.625, 0.5, 0.125, 0.375, 0.125, 0.625, 0.25, 0.5, 0.125, 0.25, 0.125, 0.875, 0.125, 0.0, 0.0]",3
61,60,"[65, 1, 3, 131, 37, 389, 647, 105, 13, 174, 79, 145, 52, 22, 26, 187]","[0.125, 0.0, 0.375, 0.5, 0.0625, 0.0625, 0.0625, 0.8125, 0.5625, 0.1875, 0.25, 0.3125, 0.4375, 0.25, 0.625, 0.375, 0.0, 0.0, 0.5625, 0.375, 0.0, 0.0625]",11
62,61,"[8, 13, 17, 25, 573, 382]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",2
63,62,"[2, 3, 8, 9, 13, 52]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",9
64,63,"[2, 134, 554, 13, 52, 244, 310, 219, 94]","[0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.0, 0.0, 0.0, 1.0, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",2
65,64,"[66, 4, 295, 10, 15, 145, 83, 24, 153, 61, 184, 223]","[0.3333333333333333, 0.08333333333333333, 0.3333333333333333, 0.25, 0.25, 0.16666666666666666, 0.16666666666666666, 0.4166666666666667, 0.5833333333333334, 0.25, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.5, 0.08333333333333333, 0.0, 0.4166666666666667]",8
66,66,"[707, 8, 105, 13, 142, 15, 275, 25, 59, 31]","[0.2, 0.0, 0.8, 0.0, 0.2, 0.0, 0.0, 0.8, 0.4, 0.6, 0.0, 0.1, 0.3, 0.6, 0.2, 0.4, 0.3, 0.1, 0.8, 0.0, 0.0, 0.2]",1
67,67,"[354, 37, 72, 111, 17, 52, 377, 26, 92, 61]","[0.3, 0.0, 0.1, 0.6, 0.1, 0.0, 0.1, 0.8, 0.7, 0.2, 0.1, 0.2, 0.4, 0.4, 0.7, 0.2, 0.0, 0.1, 0.4, 0.3, 0.0, 0.3]",11
68,68,"[13, 52, 91, 92, 31]","[0.0, 0.0, 0.8, 0.2, 0.0, 0.0, 0.0, 1.0, 0.6, 0.4, 0.0, 0.0, 0.4, 0.6, 0.2, 0.4, 0.2, 0.2, 0.8, 0.2, 0.0, 0.0]",1
